Datetime	Open	High	Low	Close	Volume	Dividends	Stock Splits	Capital Gains
2026-04-24 09:00:00+08:00	33.26	33.26	33.04	33.23	0	0.0	0.0	0.0
2026-04-24 10:00:00+08:00	33.18	33.19	33.09	33.09	18484	0.0	0.0	0.0
2026-04-24 11:00:00+08:00	33.09	33.11	33.06	33.1	27516	0.0	0.0	0.0
2026-04-24 12:00:00+08:00	33.1	33.1	33.1	33.1	20948	0.0	0.0	0.0
2026-04-24 13:00:00+08:00	33.14	33.15	33.14	33.15	5522	0.0	0.0	0.0
2026-04-27 09:00:00+08:00	33.15	33.15	32.93	33.01	0	0.0	0.0	0.0
2026-04-27 10:00:00+08:00	33.05	33.19	33.05	33.17	72225	0.0	0.0	0.0
2026-04-27 11:00:00+08:00	33.18	33.18	33.08	33.08	28923	0.0	0.0	0.0
2026-04-27 12:00:00+08:00	33.18	33.18	33.1	33.1	41069	0.0	0.0	0.0
2026-04-27 13:00:00+08:00	33.12	33.12	33.05	33.05	24698	0.0	0.0	0.0
2026-04-28 09:00:00+08:00	33.21	33.35	33.0	33.1	0	0.0	0.0	0.0
2026-04-28 10:00:00+08:00	33.19	33.3	33.07	33.3	19966	0.0	0.0	0.0
2026-04-28 11:00:00+08:00	33.25	33.3	33.21	33.3	323070	0.0	0.0	0.0
2026-04-28 12:00:00+08:00	33.28	33.32	33.28	33.32	58054	0.0	0.0	0.0
2026-04-28 13:00:00+08:00	33.3	33.3	33.28	33.28	14793	0.0	0.0	0.0
2026-04-29 09:00:00+08:00	33.34	33.69	33.34	33.65	0	0.0	0.0	0.0
2026-04-29 10:00:00+08:00	33.65	33.69	33.52	33.52	161753	0.0	0.0	0.0
2026-04-29 11:00:00+08:00	33.48	33.48	33.4	33.44	20384	0.0	0.0	0.0
2026-04-29 12:00:00+08:00	33.48	33.48	33.42	33.44	18383	0.0	0.0	0.0
2026-04-29 13:00:00+08:00	33.45	33.48	33.45	33.48	12441	0.0	0.0	0.0
2026-04-30 09:00:00+08:00	33.5	33.55	33.4	33.55	0	0.0	0.0	0.0
2026-04-30 10:00:00+08:00	33.55	33.55	33.5	33.51	28133	0.0	0.0	0.0
2026-04-30 11:00:00+08:00	33.51	33.51	33.45	33.45	29753	0.0	0.0	0.0
2026-04-30 12:00:00+08:00	33.44	33.44	33.19	33.2	52838	0.0	0.0	0.0
2026-04-30 13:00:00+08:00	33.2	33.24	33.2	33.24	5737	0.0	0.0	0.0
