Date	Open	High	Low	Close	Volume
2026-04-28 09:13:10.869870	43.0	43.19	42.88	42.96	94477
2026-04-28 10:13:10.869870	42.99	43.17	42.86	43.07	268716
2026-04-28 11:13:10.869870	42.96	43.11	42.54	42.72	88059
2026-04-28 12:13:10.869870	42.83	43.25	42.71	43.09	157289
2026-04-28 13:13:10.869870	42.92	43.02	42.43	42.53	104865
2026-04-29 09:13:10.869870	42.5	42.71	42.27	42.43	100512
2026-04-29 10:13:10.869870	42.39	42.52	42.15	42.29	43241
2026-04-29 11:13:10.869870	42.21	42.38	41.89	42.02	32639
2026-04-29 12:13:10.869870	41.94	41.99	41.71	41.76	244431
2026-04-29 13:13:10.869870	41.75	41.89	41.56	41.73	201774
2026-04-30 09:13:10.869870	41.95	42.53	41.79	42.45	194418
2026-04-30 10:13:10.869870	42.56	43.02	42.5	42.83	229389
2026-04-30 11:13:10.869870	42.89	43.1	42.79	43.04	69694
2026-04-30 12:13:10.869870	43.08	43.38	42.93	43.19	97252
2026-04-30 13:13:10.869870	43.1	43.29	42.77	42.88	90272
2026-05-01 09:13:10.869870	42.94	43.27	42.85	43.07	290947
2026-05-01 10:13:10.869870	43.02	43.18	42.8	42.9	106001
2026-05-01 11:13:10.869870	42.69	42.84	42.04	42.2	42081
2026-05-01 12:13:10.869870	42.27	42.58	42.09	42.45	230240
2026-05-01 13:13:10.869870	42.48	42.72	42.37	42.56	213805
2026-05-02 09:13:10.869870	42.7	43.21	42.53	43.01	243162
2026-05-02 10:13:10.869870	42.94	43.04	42.59	42.78	180497
2026-05-02 11:13:10.869870	42.61	42.78	42.04	42.22	191440
2026-05-02 12:13:10.869870	42.28	42.61	42.13	42.43	125817
2026-05-02 13:13:10.869870	42.39	42.48	42.19	42.3	212437
