date	group	category	name	close	change_points	change_percent
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	寶島股價指數	43580.78	373.81	-0.85
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	發行量加權股價指數	38926.63	376.87	-0.96
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	臺灣公司治理100指數	24342.54	323.51	-1.31
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	臺灣50指數	35857.21	481.61	-1.33
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	臺灣50權重上限30%指數	28932.03	202.0	-0.69
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	臺灣中型100指數	31993.56	131.3	0.41
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	臺灣資訊科技指數	75263.31	1018.9	-1.34
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	臺灣發達指數	17144.84	38.36	0.22
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	臺灣高股息指數	11454.17	82.76	-0.72
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	臺灣就業99指數	22675.17	6.71	-0.03
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	臺灣高薪100指數	17632.51	163.76	-0.92
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	未含金融指數	35204.0	331.12	-0.93
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	未含電子指數	20191.31	139.29	-0.69
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	未含金融電子指數	14112.32	39.04	-0.28
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	小型股300指數	12601.5	26.82	0.21
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	水泥窯製類指數	651.75	0.62	0.1
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	塑膠化工類指數	768.99	7.33	-0.94
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	機電類指數	13782.33	135.1	-0.97
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	水泥類指數	123.45	0.55	-0.44
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	食品類指數	1870.19	18.71	-0.99
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	塑膠類指數	205.65	1.67	-0.81
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	紡織纖維類指數	453.59	3.24	-0.71
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	電機機械類指數	554.86	10.57	1.94
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	電器電纜類指數	94.9	1.16	-1.21
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	化學生技醫療類指數	140.78	1.55	-1.09
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	化學類指數	190.73	2.03	-1.05
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	生技醫療類指數	73.93	0.82	-1.1
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	玻璃陶瓷類指數	153.63	1.57	1.03
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	造紙類指數	238.3	3.41	-1.41
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	鋼鐵類指數	114.29	1.81	-1.56
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	橡膠類指數	189.38	1.79	-0.94
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	汽車類指數	279.83	1.19	-0.42
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	電子工業類指數	2497.52	25.73	-1.02
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	半導體類指數	1301.84	21.95	-1.66
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	電腦及週邊設備類指數	356.76	6.08	-1.68
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	光電類指數	48.27	0.29	-0.6
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	通信網路類指數	239.36	2.74	1.16
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	電子零組件類指數	848.61	14.0	1.68
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	電子通路類指數	334.73	1.59	-0.47
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	資訊服務類指數	196.12	0.7	0.36
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	其他電子類指數	256.3	2.28	-0.88
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	建材營造類指數	452.01	5.92	-1.29
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	航運類指數	173.59	1.02	-0.58
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	觀光餐旅類指數	100.41	0.52	-0.52
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	金融保險類指數	2478.15	32.79	-1.31
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	貿易百貨類指數	228.76	0.88	-0.38
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	油電燃氣類指數	78.37	2.76	3.65
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	綠能環保類指數	115.29	0.56	0.49
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	數位雲端類指數	33.84	0.17	-0.5
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	運動休閒類指數	56.0	0.46	-0.81
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	居家生活類指數	97.92	0.11	-0.11
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	其他類指數	266.88	3.29	-1.22
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	臺指日報酬兩倍指數	164713.27	3220.54	-1.92
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	臺指反向一倍指數	1527.49	14.51	0.96
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	電子類兩倍槓桿指數	279640.39	5821.81	-2.04
20260430	industry	115年04月30日 價格指數(臺灣證券交易所)	電子類反向指數	938.06	9.47	1.02
20260430	concept	價格指數(跨市場)	臺灣生技指數	3462.66	28.52	-0.82
20260430	concept	價格指數(跨市場)	臺灣中小型公司治理指數	18583.18	26.27	-0.14
20260430	concept	價格指數(跨市場)	臺灣IPO指數	8514.34	106.14	-1.23
20260430	concept	價格指數(跨市場)	智慧中立指數	2947.56	15.99	-0.54
20260430	concept	價格指數(跨市場)	臺灣企業社會責任中小型指數	13849.81	129.16	-0.92
20260430	concept	價格指數(跨市場)	特選臺灣電動車代表指數	19001.17	76.53	-0.4
20260430	concept	價格指數(跨市場)	臺灣科技龍頭通訊指數	21619.99	31.72	-0.15
20260430	concept	價格指數(跨市場)	臺灣全市場指數	13410.08	77.4	-0.57
20260430	concept	價格指數(跨市場)	臺灣全市場半導體指數	15804.72	60.45	-0.38
20260430	concept	價格指數(跨市場)	臺灣智慧移動與電動車指數	14464.51	240.74	1.69
20260430	concept	價格指數(跨市場)	特選小資高價30指數	19081.76	4.71	-0.02
20260430	concept	價格指數(跨市場)	特選臺灣綠能及電動車指數	9974.58	57.49	-0.57
20260430	concept	價格指數(跨市場)	特選臺灣智能車供應鏈聯盟指數	14674.55	104.94	-0.71
20260430	concept	價格指數(跨市場)	臺灣全市場半導體精選30指數	13255.47	87.72	-0.66
20260430	concept	價格指數(跨市場)	特選臺灣高股息30指數	5630.14	31.32	-0.55
20260430	concept	價格指數(跨市場)	臺灣友善環境指數	11318.42	96.85	-0.85
20260430	concept	價格指數(跨市場)	台灣永續價值指數	11075.6	143.41	-1.28
20260430	concept	價格指數(跨市場)	特選臺灣IC設計指數	6302.7	3.68	-0.06
20260430	concept	價格指數(跨市場)	特選臺灣環境永續高股息指數	6503.67	23.35	-0.36
20260430	concept	價格指數(跨市場)	臺灣友善環境50指數	10403.65	95.37	-0.91
20260430	concept	價格指數(跨市場)	特選臺灣IC設計產業代表指數	8366.56	38.28	0.46
20260430	concept	價格指數(跨市場)	特選臺灣綠能指數	9691.32	30.23	-0.31
20260430	concept	價格指數(跨市場)	特選臺灣智慧50指數	8739.31	137.35	-1.55
20260430	concept	價格指數(跨市場)	臺灣晶圓製造指數	12652.67	21.14	0.17
20260430	concept	價格指數(跨市場)	臺灣精選高息指數	6207.86	29.44	-0.47
20260430	concept	價格指數(跨市場)	臺灣多因子優選高股息30指數	8908.56	48.88	-0.55
20260430	concept	價格指數(跨市場)	特選臺灣優利高填息30指數	8411.25	83.44	-0.98
20260430	concept	價格指數(跨市場)	特選臺灣科技優息指數	11144.64	4.78	0.04
20260430	concept	價格指數(跨市場)	臺灣半導體收益指數	12168.7	7.08	0.06
20260430	concept	價格指數(跨市場)	臺灣優選成長高股息指數	9807.15	119.23	-1.2
20260430	concept	價格指數(跨市場)	特選臺灣ESG低碳高息40指數	8947.63	24.81	-0.28
20260430	concept	價格指數(跨市場)	臺灣優選多因子30指數	12031.5	189.77	-1.55
20260430	concept	價格指數(跨市場)	臺灣創新科技50指數	18354.96	67.84	0.37
20260430	concept	價格指數(跨市場)	臺灣全市場新經濟產業指數	3561.69	1.37	0.04
20260430	concept	價格指數(跨市場)	臺灣ESG永續高股息等權重指數	6346.67	23.1	-0.36
20260430	concept	價格指數(跨市場)	臺灣永續高息中小型指數	6874.84	36.28	0.53
20260430	concept	價格指數(跨市場)	特選臺灣高息動能指數	7698.23	0.5	0.01
20260430	concept	價格指數(跨市場)	臺灣電子成長高息等權重指數	6975.13	24.21	0.35
20260430	concept	價格指數(跨市場)	特選臺灣優利成長指數	6174.06	14.11	0.23
20260430	concept	價格指數(跨市場)	臺灣價值高息指數	6035.6	28.37	-0.47
20260430	concept	價格指數(跨市場)	特選臺灣IC設計動能指數	10777.73	98.52	-0.91
20260430	concept	價格指數(跨市場)	臺灣趨勢動能高股息指數	6680.44	17.86	-0.27
20260430	concept	價格指數(跨市場)	特選臺灣科技高息成長指數	6626.31	26.69	0.4
20260430	concept	價格指數(跨市場)	特選臺灣AI優息動能指數	6102.26	32.03	-0.52
20260430	concept	價格指數(跨市場)	臺灣優選AI 50指數	8002.37	9.27	0.12
20260430	concept	價格指數(跨市場)	臺灣AI供應鏈聯盟指數	14610.98	101.55	0.7
20260430	concept	價格指數(跨市場)	台灣旗艦動能50指數	8308.73	16.5	-0.2
20260430	concept	價格指數(跨市場)	特選臺灣動能趨勢指數	12384.78	123.24	-0.99
20260430	industry	價格指數(臺灣指數公司)	金融類日報酬兩倍指數	62604.44	1678.93	-2.61
20260430	industry	價格指數(臺灣指數公司)	金融類日報酬反向一倍指數	2848.68	36.72	1.31
20260430	industry	價格指數(臺灣指數公司)	漲升股利150指數	17585.98	119.63	0.68
20260430	concept	價格指數(臺灣指數公司)	藍籌30指數	22523.79	72.94	-0.32
20260430	industry	價格指數(臺灣指數公司)	工業菁英30指數	20184.27	65.12	-0.32
20260430	concept	價格指數(臺灣指數公司)	低波動股利精選30指數	9844.07	83.14	-0.84
20260430	concept	價格指數(臺灣指數公司)	中小型A級動能50指數	29621.56	897.53	3.12
20260430	concept	價格指數(臺灣指數公司)	特選高息低波指數	10423.05	97.4	-0.93
20260430	concept	價格指數(臺灣指數公司)	臺灣永續指數	21067.22	117.08	-0.55
20260430	concept	價格指數(臺灣指數公司)	存股雙十等權重指數	15767.48	27.13	-0.17
20260430	concept	價格指數(臺灣指數公司)	特選大蘋果指數	23633.93	57.3	0.24
20260430	concept	價格指數(臺灣指數公司)	中小型300指數	15652.92	18.73	0.12
20260430	concept	價格指數(臺灣指數公司)	微波高息精選20指數	9911.43	51.15	0.52
20260430	concept	價格指數(臺灣指數公司)	特選世代行動通訊指數	17253.18	226.95	1.33
20260430	concept	價格指數(臺灣指數公司)	智慧投資多因子30指數	7376.27	46.98	-0.63
20260430	industry	價格指數(臺灣指數公司)	臺股期貨指數	21574.21	71.26	-0.33
20260430	concept	價格指數(臺灣指數公司)	臺灣上櫃永續指數	12121.12	95.97	-0.79
20260430	concept	價格指數(臺灣指數公司)	特選台股領航指數	20668.7	48.02	-0.23
20260430	concept	價格指數(臺灣指數公司)	特選Smart多因子指數	16224.16	111.92	-0.69
20260430	concept	價格指數(臺灣指數公司)	特選ESG高股息指數	8734.17	34.81	0.4
20260430	concept	價格指數(臺灣指數公司)	特選上櫃ESG成長指數	8624.46	119.32	-1.36
20260430	concept	價格指數(臺灣指數公司)	臺灣優息存股指數	4925.95	38.46	-0.77
20260430	concept	價格指數(臺灣指數公司)	特選上櫃ESG永續高股息指數	12547.52	306.15	-2.38
20260430	concept	價格指數(臺灣指數公司)	特選臺灣金融高股息存股指數	7825.24	147.15	-1.85
